# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.7286e-07   8.3673e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.9395e-07   9.3883e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.1762e-07   1.0534e-06   0.0000e+00   1.2589e-06  -5.9000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.4417e-07   1.1819e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.7396e-07   1.3261e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.0739e-07   1.4879e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.4490e-07   1.6695e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.8698e-07   1.8732e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.3420e-07   2.1018e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -4.8718e-07   2.3582e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -5.4663e-07   2.6460e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -6.1332e-07   2.9688e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -6.8816e-07   3.3311e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -7.7213e-07   3.7376e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -8.6634e-07   4.1936e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -9.7205e-07   4.7053e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.0907e-06   5.2794e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.2237e-06   5.9236e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.3731e-06   6.6464e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.5406e-06   7.4574e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.7286e-06   8.3673e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -1.9395e-06   9.3883e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.1762e-06   1.0534e-05   0.0000e+00   1.2589e-05  -4.9000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.4417e-06   1.1819e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -2.7396e-06   1.3261e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.0739e-06   1.4879e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  6.5695e+14   1.1413e+01   7.0000e-01  -3.4490e-06   1.6695e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
