# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.6576e-07   8.4547e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.8598e-07   9.4863e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.0867e-07   1.0644e-06   0.0000e+00   1.2589e-06  -5.9000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.3414e-07   1.1943e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.6271e-07   1.3400e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.9476e-07   1.5035e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.3073e-07   1.6869e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.7108e-07   1.8928e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.1636e-07   2.1237e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.6716e-07   2.3829e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.2417e-07   2.6736e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.8812e-07   2.9998e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -6.5989e-07   3.3659e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -7.4040e-07   3.7766e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -8.3075e-07   4.2374e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -9.3211e-07   4.7544e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.0458e-06   5.3346e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.1735e-06   5.9855e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.3166e-06   6.7158e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.4773e-06   7.5353e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.6576e-06   8.4547e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.8598e-06   9.4863e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.0867e-06   1.0644e-05   0.0000e+00   1.2589e-05  -4.9000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.3414e-06   1.1943e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.6271e-06   1.3400e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.9476e-06   1.5035e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.3073e-06   1.6869e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.7108e-06   1.8928e-05   0.0000e+00   2.2387e-05  -4.6500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.1636e-06   2.1237e-05   0.0000e+00   2.5119e-05  -4.6000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.6716e-06   2.3829e-05   0.0000e+00   2.8184e-05  -4.5500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.2417e-06   2.6736e-05   0.0000e+00   3.1623e-05  -4.5000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.8812e-06   2.9998e-05   0.0000e+00   3.5481e-05  -4.4500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -6.5989e-06   3.3659e-05   0.0000e+00   3.9811e-05  -4.4000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -7.4040e-06   3.7766e-05   0.0000e+00   4.4668e-05  -4.3500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -8.3075e-06   4.2374e-05   0.0000e+00   5.0119e-05  -4.3000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -9.3211e-06   4.7544e-05   0.0000e+00   5.6234e-05  -4.2500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.0458e-05   5.3346e-05   0.0000e+00   6.3096e-05  -4.2000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.1735e-05   5.9855e-05   0.0000e+00   7.0795e-05  -4.1500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.3166e-05   6.7158e-05   0.0000e+00   7.9433e-05  -4.1000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.4773e-05   7.5353e-05   0.0000e+00   8.9125e-05  -4.0500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.6576e-05   8.4547e-05   0.0000e+00   1.0000e-04  -4.0000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.8598e-05   9.4863e-05   0.0000e+00   1.1220e-04  -3.9500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.0867e-05   1.0644e-04   0.0000e+00   1.2589e-04  -3.9000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.3414e-05   1.1943e-04   0.0000e+00   1.4125e-04  -3.8500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.6271e-05   1.3400e-04   0.0000e+00   1.5849e-04  -3.8000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.9476e-05   1.5035e-04   0.0000e+00   1.7783e-04  -3.7500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.3073e-05   1.6869e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -3.7108e-05   1.8928e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.1636e-05   2.1237e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -4.6716e-05   2.3829e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.2417e-05   2.6736e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -5.8812e-05   2.9998e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -6.5989e-05   3.3659e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -7.4040e-05   3.7766e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -8.3075e-05   4.2374e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -9.3211e-05   4.7544e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.0458e-04   5.3346e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.1735e-04   5.9855e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.3166e-04   6.7158e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.4773e-04   7.5353e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.6576e-04   8.4547e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -1.8598e-04   9.4863e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  5.8046e+14   1.1985e+01   7.0000e-01  -2.0867e-04   1.0644e-03   0.0000e+00   1.2589e-03  -2.9000e+00 
